,name,region,tel,keyword,photo,address,lat,lon,Unnamed: 0
0,군산근대역사박물관,전북 군산시,063-454-5953,"['가족여행', '교과서속으로', '군산근대역사박물관', '근대문화유산', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94fc6e8f-a0d4-4a9c-925d-fd6ab7fb4e7d&thumb,전라북도 군산시 해망로 240,35.99081903,126.71195230000001,
1,남원시립김병종미술관,전북 남원시,063-620-5660,"['남원가볼만한곳', '남원시립김병종미술관', '문화시설', '문화예술', '미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b11a7ae-000f-4540-8f6c-cef80077e1b6&thumb,전라북도 남원시 함파우길 65-14,35.39870644,127.38955459999998,
2,고창고인돌박물관,전북 고창군,063-560-8666,"['겨울방학가볼만한곳', '고창고인돌박물관', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f283b3be-ce20-402b-bb8c-cf94d91915d6&thumb,전라북도 고창군 고창읍 고인돌공원길 74,35.44169795,126.65249750000001,
3,채만식 문학관,전북 군산시,063-454-7885,"['기차여행', '문화시설', '아이와함께', '전라권', '전시관', '전통역사문화체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02359ae2-effe-468c-a205-9314fa7939e6&thumb,전라북도 군산시 강변로 449,36.008661,126.7578903,
4,국립태권도원,전북 무주군,063-320-0114,"['19_20한국관광100선', '가족여행', '가족체험', '국립태권도원', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4afdf1ac-3157-4a11-bead-2946c43dc84d&thumb,전라북도 무주군 설천면 무설로 1482,36.00931149,127.7786624,
5,국립전주박물관,전북 전주시,063-233-5651,"['교과서속여행', '국립전주박물관', '기차여행', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb4d6ec2-bed2-4a0c-92b7-91f1d6ab1c0e&thumb,전라북도 전주시 완산구 쑥고개로 249,35.80103866,127.08837350000002,
6,전주 전통술박물관,전북 전주시,063-287-6305,"['가족여행', '기차여행', '문화시설', '박물관', '시음체험', '연인과함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c1dc7b7-26e9-4078-a388-7fd874d7b6af&thumb,전라북도 전주시 완산구 한지길 74,35.81685036,127.15346670000001,
7,부안청자박물관,전북 부안군,063-580-3964,"['가족여행', '가족체험여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dee6bf30-6851-4345-9a67-1019c5be7941&thumb,전라북도 부안군 보안면 청자로 1493,35.61149913,126.6513338,
8,전주 덕진예술회관,전북 전주시,063-281-6650,"['가족여행', '공연장', '기차여행', '나들이', '덕진예술회관', '데이트코스', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3791cfc7-83bc-4137-9ea7-50e0786cd619&thumb,전라북도 전주시 덕진구 권삼득로 407,35.84775174,127.119375,
9,전주 추억박물관,전북 전주시,010-4131-3206,"['근대사박물관', '근현대사', '남녀노소', '문화시설', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0f23541-f9c6-464e-9a59-1be252b506b7&thumb,전라북도 전주시 완산구 경원동1가 전동성당길 8,35.81852909,127.14848020000001,
10,동학농민혁명기념관,전북 정읍시,063-536-1894,"['가족여행', '겨울방학가볼만한곳', '교과서속여행', '기념관', '동학농민운동']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65edfd4a-39b4-4155-b4c1-f57ff3919b9f&thumb,전라북도 정읍시 덕천면 동학로 742,35.63370584,126.83011880000001,
11,전주한벽문화관,전북 전주시,063-280-7000,"['가족여행', '기차여행', '단체체험', '문화시설', '아이와함께', '이색체험', '전주한벽문화관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80862567-3d54-4900-9689-e969799931af&thumb,전라북도 전주시 완산구 전주천동로 20,35.81224642,127.15903059999998,
12,국립익산박물관,전북 익산시,063-830-0900,"['교과서속여행', '국립익산박물관', '문화시설', '박물관', '아이와함께', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b7c89dc5-5983-400e-9394-27981c7dc5df&thumb,전라북도 익산시 금마면 미륵사지로 362,36.01155117,127.0287139,
13,내장산 탐방안내소,전북 정읍시,063-538-7875,"['가족여행', '내장산탐방안내소', '눈꽃&설경여행', '단풍여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aea9d6a1-78ad-4846-a5e3-73d9c199d639&thumb,전라북도 정읍시 내장산로 1207,35.48790912,126.90747590000001,
14,고창판소리박물관,전북 고창군,063-560-8061,"['고창판소리박물관', '기차여행', '문화시설', '실내여행지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=27ba5e61-ce19-4d5d-8abe-f79007f84a39&thumb,전라북도 고창군 고창읍 동리로 100,35.43237353,126.70262949999999,
15,전주한지박물관,전북 전주시,063-210-8103,"['가족과함께', '문화시설', '미세먼지_피하는_실내여행', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d93481a-270b-4ebc-ba29-3e8cb2dbd256&thumb,전라북도 전주시 덕진구 팔복로 59,35.84512928,127.09670459999998,
16,순창장류박물관,전북 순창군,063-650-1627,"['가족여행', '문화시설', '박물관', '순창가볼만한곳', '순창장류박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=659235ec-23f5-4718-accd-4054e61abde3&thumb,전라북도 순창군 순창읍 장류로 43,35.36959372,127.11109180000001,
17,마동도서관,전북 익산시,063-859-3465,"['도서', '도서관', '독서', '무장애', '문화시설', '익산', '전라북도', '평생교육']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f27164c4-68d8-4fa3-baee-e15f25284c6e&thumb,전라북도 익산시 선화1로 99,35.94007131,126.96869140000001,
18,고창문화의전당,전북 고창군,063-560-8041,"['고창문화의전당', '데이트코스', '문화공간', '문화시설', '문화행사', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a0fc2db0-ecd5-4a7f-a24a-de432f77ce53&thumb,전라북도 고창군 고창읍 모양성로 11,35.43338075,126.7045756,
19,전주자연생태관,전북 전주시,063-288-9540,"['가족여행', '교과서속여행', '문화시설', '박물관', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=377151bb-01b6-41cf-ba43-741fbb386e16&thumb,전라북도 전주시 완산구 바람쐬는길 21,35.81159258,127.1625872,
20,전주역사박물관,전북 전주시,063-228-6485,"['기차여행', '단체관람', '문화시설', '박물관', '수학여행', '아이와함께', '전주역사박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed8dc3ca-2286-4404-a1dd-5d294b785527&thumb,전라북도 전주시 완산구 쑥고개로 259,35.8011446,127.09332859999998,
21,무주곤충박물관,전북 무주군,063-324-1155,"['교과서속여행', '무주곤충박물관', '문화시설', '박물관', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66b5db34-20ae-46cd-93ed-3c629999ffef&thumb,전라북도 무주군 설천면 무설로 1324,36.01249047,127.7611881,
22,진안역사박물관,전북 진안군,063-430-8086,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4716e4f4-4d7f-4bdf-99de-e00e69ac33a5&thumb,전라북도 진안군 진안읍 내사양길 7,35.77255631,127.41716480000001,
23,어진박물관,전북 전주시,063-231-0090,"['가족여행', '교과서속여행', '문화시설', '박물관', '아이와함께', '어진박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca1d25af-734a-4b96-aa40-e94ae49f367c&thumb,전라북도 전주시 완산구 태조로 44,35.815519,127.1501202,
24,익산시솜리문화예술회관,전북 익산시,063-859-5278,"['가족여행', '공연장', '데이트코스', '문화시설', '실내여행지', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=392ab97a-8909-40e4-8cf9-ad9eabc28d5c&thumb,전라북도 익산시 선화1로 106,35.93909935,126.96845159999998,
25,위도띠뱃놀이 전수관,전북 부안군,063-581-2208,"['문화시설', '아이와 함께', '위도띠뱃놀이', '이색체험', '전수관', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6ea4076-9228-41f7-b1bd-876a445326df&thumb,전라북도 부안군 위도면 대장길 15-15,35.57770746,126.2652061,
26,전북도립미술관,전북 완주군,063-290-6888,"['도서관', '문화공간', '문화시설', '문화예술', '문화예술활동', '미술관', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=186072a0-a69b-4f42-94bc-07d865455505&thumb,전라북도 완주군 구이면 모악산길 111-6,35.72770556,127.1069245,
27,국립군산대학교 박물관,전북 군산시,063-469-4191,"['가족여행', '국립군산대학교박물관', '기차여행', '문화시설', '박물관', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c245122-21b5-4e01-9256-616155c8dfef&thumb,전라북도 군산시 대학로 558,35.95034571,126.6803568,
28,익산문화원,전북 익산시,063-835-0120,"['문화시설', '박물관', '아이와함께', '익산문화원', '전라권', '전시관', '전통역사문화체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79eb75ec-d997-4e76-8e2f-fed2b149083f&thumb,전라북도 익산시 선화로 529,35.94849648,126.9882513,
29,석정문학관,전북 부안군,063-584-0560,"['가족체험', '문학관', '문학기행', '문화시설', '문화활동', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9363d4c-b8b5-4bcd-8a3d-73a82668512b&thumb,전라북도 부안군 부안읍 선은1길 10,35.73991758,126.73538090000001,
30,부안댐 물문화관,전북 부안군,063-580-3273,"['가족여행', '도심여행', '문화시설', '부안댐물문화관', '사계절', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e0cb32a-fffd-48a4-b44f-2836d3228228&thumb,전라북도 부안군 변산면 부안댐로 280-26,35.675678999999995,126.56448300000001,
31,전주공예품전시관,전북 전주시,063-282-8886,"['가족여행', '공예체험', '기념품', '기념품샵', '문화시설', '문화여행', '선물샵']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffd5cc7a-5dac-4de0-8e7c-16f567f2f9f5&thumb,전라북도 전주시 완산구 태조로 15,35.81439156,127.1530924,
32,전주완산도서관,전북 전주시,063-287-6417,"['도서관', '문화시설', '사계절', '실내여행지', '아이와함께', '전라권', '전주완산도서관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd9bd39e-72c8-4ba3-9f91-cca8d1e34a4c&thumb,전라북도 전주시 완산구 곤지산4길 12,35.8092414,127.14754280000001,
