name,region,address,lon,lat,상태
가지산 탄산유황온천,울산 울주군,울산광역시 울주군 상북면 운문로 48,129.0496708,35.62102132,정좌표
가지산도립공원(울주),울산 울주군,울산광역시 울주군 상북면,129.004029,35.620403,실패
간월산,울산 울주군,울산광역시 울주군 상북면 간월산길 614,129.0453558,35.54820104,정좌표
간월산 자연휴양림,울산 울주군,울산광역시 울주군 상북면 등억알프스로 607-15,129.0520001,35.56790477,정좌표
간절곶 등대,울산 울주군,울산광역시 울주군 서생면 간절곶1길 39-2,129.360522,35.3590693,정좌표
강동 해수온천,울산 북구,울산광역시 북구 동해안로 1418,129.4505036,35.61377523,정좌표
강동 화암 주상절리,울산 북구,울산광역시 북구 화암길,129.442447,35.63415683,실패
강동몽돌해변,울산 북구,울산광역시 북구 동해안로 1650,129.4405867,35.63168446,정좌표
고헌산(울산),울산 울주군,울산광역시 울주군 언양읍,129.087072,35.64654,실패
과개안(너븐개) 해안,울산 동구,울산광역시 동구 등대로 일산동,129.432764,35.489401,실패
관음사(울산),울산 중구,울산광역시 중구 신기16길 62,129.2968592,35.55631959,정좌표
구강서원,울산 중구,울산광역시 중구 서원11길 45,129.3372774,35.55979629,정좌표
국립 신불산폭포자연휴양림,울산 울주군,울산광역시 울주군 상북면 억새벌길 200-78,129.0225117,35.5432165,정좌표
국립대운산치유의숲,울산 울주군,울산광역시 울주군 온양읍 대운상대길 225-92,129.2361773,35.39015967,정좌표
내원암 계곡,울산 울주군,울산광역시 울주군 온양읍 대운상대길 382,129.2309826,35.39913703,정좌표
내원암(울산),울산 울주군,울산광역시 울주군 온양읍 대운상대길 382,129.2309826,35.39913703,정좌표
대왕암 송림,울산 동구,울산광역시 동구 등대로 110,129.4406332,35.49184885,정좌표
대왕암공원,울산 동구,울산광역시 동구 등대로 140,129.4399363,35.49226357,정좌표
대운산,울산 울주군,울산광역시 울주군 온양읍 대운상대길 225-92,129.2361773,35.39015967,정좌표
도솔암(울산),울산 북구,울산광역시 북구 화동15길 77,129.3743113,35.59503485,정좌표
동축사,울산 동구,울산광역시 동구 옥류로 93,129.4188702,35.54832447,정좌표
드라마하우스,울산 울주군,울산광역시 울주군 서생면 간절곶해안길 231,129.3596114,35.36416913,정좌표
등억온천단지,울산 울주군,울산광역시 울주군 상북면 알프스온천로 197,129.0720828,35.55430391,정좌표
목도,울산 울주군,울산광역시 울주군 온산읍 당목길,129.3563008,35.4431072,실패
무제치늪,울산 울주군,울산광역시 울주군 삼동면 조일리 일원,129.1426272,35.46103695,실패
문수사(울주),울산 울주군,울산광역시 울주군 청량읍 문수산길 514,129.2139354,35.5316927,정좌표
박상진의사 생가,울산 북구,울산광역시 북구 박상진길 23,129.359885,35.602556,실패
반구서원,울산 울주군,울산광역시 울주군 언양읍 반구대안길 299,129.1736952,35.60927482,정좌표
발리온천,울산 울주군,울산광역시 울주군 온양읍 상발2길 34,129.2921011,35.40625676,정좌표
배내골(울산),울산 울주군,울산광역시 울주군 상북면 배내로 1061,129.0103557,35.53556863,정좌표
백양사(울산),울산 중구,울산광역시 중구 백양로 67,129.3139085,35.57457111,정좌표
병영교회,울산 중구,울산광역시 중구 병영성길 89,129.3457938,35.57448929,정좌표
삼일사,울산 중구,울산광역시 중구 병영성11길 25,129.3449463,35.57602797,정좌표
서생포왜성,울산 울주군,울산광역시 울주군 서생면 서생리,129.3316735,35.37928362,실패
석계서원,울산 울주군,울산광역시 울주군 웅촌면 대복동천로 160-12,129.2346065,35.4703125,정좌표
석남사(울산),울산 울주군,울산광역시 울주군 상북면 석남로 557,129.032151,35.62082063,정좌표
석남사계곡,울산 울주군,울산광역시 울주군 상북면,129.0389789,35.61583664,실패
선바위,울산 울주군,울산광역시 울주군 범서읍 두동로 160,129.2352483,35.58219903,정좌표
선바위(입암),울산 울주군,울산광역시 울주군 범서읍,129.2110222,35.57029188,실패
선암호수공원,울산 남구,울산광역시 남구 선암호수길 104,129.3224883,35.51690138,정좌표
성안 숯못 자연생태공원,울산 중구,울산광역시 중구 성안동 761번지 일원,129.3135183,35.57906278,정좌표
숯못 생태공원,울산 중구,울산광역시 중구 성안동 761,129.3135183,35.57906278,정좌표
슬도,울산 동구,울산광역시 동구 방어동,129.431212,35.477905,실패
신명·정자해변,울산 북구,울산광역시 북구 동해안로 1801,129.4404443,35.64423537,정좌표
신불산군립공원,울산 울주군,울산광역시 울주군 상북면,129.0700437,35.55612578,실패
신흥사(울산),울산 북구,울산광역시 북구 대안4길 280,129.3908679,35.66110002,정좌표
